,label,area,mean_intensity,major_axis_length,minor_axis_length,aspect_ratio
0,1,429.0,191.44055944055944,34.77923003414236,16.654731528849187,2.088249214578936
1,2,183.0,179.84699453551912,20.950530036869296,11.755644656394182,1.7821676861824665
2,3,658.0,205.6048632218845,30.19848422590625,28.282790223194088,1.0677335576721545
3,4,433.0,217.5150115473441,24.50879074958516,23.079219876134083,1.0619419062309545
4,5,472.0,213.03389830508473,31.08476574192099,19.68118979899468,1.5794149672551203
5,6,280.0,205.65714285714284,20.456703267018653,17.47089783145059,1.170901659684204
6,7,75.0,164.16,10.455950805204104,9.116218970313689,1.1469613486965544
7,8,271.0,176.0590405904059,22.270013595805494,15.607028671110829,1.4269220660194013
8,9,227.0,189.53303964757708,18.20477287301333,15.909496675267663,1.1442708241872805
9,10,27.0,149.33333333333334,12.678548278670085,2.872810784461678,4.413290407862993
10,11,494.0,190.0080971659919,26.121885258285065,24.170185802982186,1.0807482189508892
11,12,649.0,172.42526964560864,33.38590677881437,24.928744293266604,1.339253449193271
12,13,96.0,166.41666666666666,12.546653692400314,9.759159971288504,1.2856284484845653
13,14,225.0,196.8,18.35737770149141,15.721849778826789,1.1676347223603412
14,15,448.0,209.03571428571428,26.27274937409412,21.751311537269267,1.2078696647362024
15,16,397.0,180.0705289672544,35.8698551687111,14.557977652448514,2.4639311877689365
16,17,513.0,194.86939571150097,27.860019629951697,23.506279305483258,1.1852160551607525
17,18,423.0,196.27423167848698,28.010713581438814,19.279300157920208,1.4528905796371254
18,19,268.0,200.77611940298507,21.468307192278967,15.954182342416486,1.345622529034433
19,20,349.0,190.64756446991404,22.917689441728474,19.513089038189555,1.174477777294804
20,21,158.0,183.69620253164558,15.666167580602863,12.89762742058006,1.214654995817695
21,22,406.0,187.21182266009853,23.865287484124742,21.749619132393057,1.0972738115023213
22,23,422.0,202.54028436018956,32.6668803721007,17.921441476620235,1.822781968443605
23,24,254.0,180.5984251968504,19.57228408508096,16.548188829192224,1.1827447877893447
24,25,503.0,198.6958250497018,33.24776088170501,19.881844257716484,1.6722674441432157
25,26,282.0,189.33333333333334,20.24089328396192,17.75454587266951,1.140040045469131
26,27,675.0,199.07555555555555,36.442424525819675,24.6031231197402,1.481211322174796
27,28,176.0,195.3181818181818,20.498286890054775,11.485145232833998,1.7847651444105208
28,29,358.0,197.7877094972067,23.711197998545448,19.239194852620802,1.2324423230900154
29,30,542.0,198.760147601476,29.208497591042352,23.746822618790265,1.2299960318872472
30,31,599.0,190.85141903171953,47.75343594118352,17.163886885864247,2.7822040694355814
31,32,7.0,146.28571428571428,3.0237157840738176,2.799416848895061,1.0801234497346432
32,33,635.0,193.22204724409448,40.67149576429511,20.875287422962845,1.948308300634769
33,34,192.0,181.83333333333334,16.77158509151243,14.623336545145994,1.1469054986004215
34,35,594.0,210.45117845117846,28.811758210746785,26.36147874343686,1.0929492420041105
35,36,19.0,150.31578947368422,6.09093638927516,3.9438855858140767,1.5443998708238134
36,37,264.0,189.93939393939394,20.588317981737514,16.386934765306876,1.2563861562032623
37,38,896.0,198.59821428571428,54.585718360111564,21.6815562275247,2.5176107188659773
38,39,473.0,205.5137420718816,32.95587965343868,19.012285397373265,1.733399166098772
39,40,239.0,191.59832635983264,19.251261822332605,15.852979711276976,1.2143623579255747
40,41,166.0,184.09638554216866,16.687880082810175,12.703883672876291,1.3136046041133078
41,42,408.0,179.80392156862746,26.756617235381256,19.5000444813055,1.3721310872409835
42,43,413.0,199.94188861985472,25.626194046159547,20.604108937658513,1.2437419217543582
43,44,239.0,188.21757322175733,18.831258251302966,16.210703544124186,1.1616558282030047
44,45,374.0,195.76470588235293,24.783530938010696,19.259054991885428,1.2868508319049372
45,46,647.0,200.70479134466768,30.43602504101513,27.271280590416684,1.1160467855591116
46,47,378.0,208.23280423280423,23.49797787654461,20.542054305571696,1.1438962007889917
47,48,577.0,201.01213171577123,27.804675105924606,26.52983725996479,1.0480529840220176
48,49,66.0,188.36363636363637,16.651155953717762,5.334949555901575,3.121145903862968
49,50,169.0,181.53846153846155,17.042194757272345,12.623372359252096,1.3500508637679174
50,51,467.0,167.58886509635974,35.316994908476254,17.08838033278828,2.0667257060466913
51,52,612.0,220.0261437908497,32.401948630679065,24.12194568826099,1.3432560146442731
52,53,539.0,189.5213358070501,30.136816201114012,22.800446442400148,1.3217643030476374
53,54,203.0,199.96059113300493,24.67233590691917,11.135827410960692,2.2155817431792144
54,55,556.0,216.93525179856115,27.47945909705002,25.86223618823943,1.0625322148107985
55,56,850.0,197.9294117647059,41.32954022794983,26.458182401007104,1.5620702738211019
56,57,278.0,190.44604316546761,21.637743417307327,16.412094349161027,1.3184023292196971
57,58,213.0,184.52582159624413,18.753879494637765,14.468992997389106,1.2961426892681374
58,59,79.0,184.81012658227849,18.287488895428375,5.762488122991476,3.1735404056563685
59,60,88.0,182.72727272727272,21.673692014391232,5.389866532871964,4.0211927108411185
60,61,52.0,189.53846153846155,14.33510391276191,5.047883434793724,2.839824670663715
61,62,48.0,173.83333333333334,16.925659950161798,3.8316781537220876,4.417296879102498
